iter	RMSE
0	14.01464507
1	12.94168885
2	11.97335386
3	11.14947308
4	10.38131177
5	9.65344105
6	9.057088022
7	8.482624252
8	7.982318357
9	7.508085474
10	7.070476694
11	6.689225785
12	6.361383446
13	6.060912826
14	5.799153281
15	5.525997557
16	5.29319822
17	5.105587843
18	4.930745937
19	4.763165248
20	4.614838682
21	4.50284868
22	4.395144746
23	4.312006738
24	4.220141278
25	4.136137175
26	4.061120032
27	3.99938168
28	3.942406374
29	3.892284291
30	3.845504186
31	3.800748301
32	3.761956084
33	3.727366538
34	3.694432271
35	3.66442322
36	3.637974295
37	3.614662574
38	3.590164134
39	3.559396797
40	3.541725594
41	3.524627926
42	3.508666195
43	3.493866904
44	3.477812321
45	3.461877261
46	3.449309888
47	3.436307231
48	3.425077485
49	3.414232535
50	3.404199617
51	3.395404606
52	3.383255581
53	3.37364934
54	3.367444563
55	3.360336954
56	3.352375889
57	3.350466808
58	3.3443463
59	3.338781565
60	3.330319543
61	3.321029579
62	3.312333754
63	3.30412416
64	3.297880212
65	3.292144009
66	3.284087619
67	3.275325537
68	3.271617021
69	3.263207997
70	3.253438089
71	3.248191413
72	3.24440159
73	3.240214112
74	3.234746313
75	3.230746882
76	3.219135403
77	3.209673965
78	3.203713704
79	3.197688407
80	3.192263163
81	3.187389152
82	3.17700824
83	3.170861955
84	3.163230451
85	3.152228422
86	3.145194228
87	3.143075418
88	3.142251755
89	3.133662967
90	3.125097573
91	3.120051146
92	3.115156695
93	3.111840699
94	3.108692863
95	3.100724577
96	3.099722475
97	3.094827663
98	3.089447623
99	3.08206287
