iter	Passed	Remaining
0	0	86
1	1	82
2	2	80
3	3	81
4	4	82
5	5	80
6	5	78
7	6	77
8	7	75
9	8	74
10	20	165
11	21	156
12	22	147
13	22	140
14	23	134
15	24	127
16	25	122
17	25	117
18	26	113
19	27	109
20	28	105
21	28	102
22	29	98
23	30	95
24	31	93
25	31	90
26	32	87
27	33	85
28	33	83
29	34	80
30	35	78
31	36	76
32	36	74
33	37	72
34	38	71
35	39	69
36	39	67
37	40	66
38	41	64
39	42	63
40	42	61
41	43	60
42	44	58
43	44	57
44	45	55
45	46	54
46	47	53
47	48	52
48	48	50
49	49	49
50	50	48
51	51	47
52	51	46
53	52	44
54	53	43
55	54	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	58	36
62	59	34
63	60	33
64	61	32
65	61	31
66	62	30
67	63	29
68	63	28
69	64	27
70	65	26
71	66	25
72	66	24
73	67	23
74	68	22
75	69	21
76	69	20
77	70	19
78	71	18
79	72	18
80	72	17
81	73	16
82	74	15
83	75	14
84	75	13
85	76	12
86	77	11
87	78	10
88	78	9
89	79	8
90	80	7
91	80	7
92	81	6
93	82	5
94	82	4
95	83	3
96	84	2
97	85	1
98	85	0
99	86	0
